participant,trial,expectation,feedback,reference,profile,reset,mean_population,item_number,factor_number
2,177,6,5,6,3,1,6.017456359102244,31,3
2,178,6,3,7,4,1,6.083756345177665,79,4
2,179,7,7,8,4,1,6.987146529562982,38,4
2,180,5,4,6,4,1,6.1914357682619645,19,4
2,181,8,7,2,4,1,6.0648379052369075,71,4
2,182,7,5,5,4,0,6.5575,16,4
2,183,6,6,7,4,0,5.959493670886076,4,3
2,184,3,6,NA,4,0,5.238341968911917,2,2
2,185,6,6,4,4,1,5.394805194805195,67,3
2,186,8,7,7,4,1,6.401496259351621,41,4
2,187,5,5,8,4,1,6.370646766169155,56,4
2,188,7,5,6,4,0,6.017456359102244,31,3
2,189,5,4,4,4,1,6.596899224806202,73,4
2,190,7,6,6,4,0,7.17005076142132,35,4
2,191,6,5,7,4,0,6.01025641025641,43,3.5
2,192,1,7,6,4,1,5.351706036745407,63,3
2,193,6,3,8,4,1,5.129675810473816,26,3
2,194,7,5,8,4,1,6.839793281653747,27,4
2,195,6,4,6,4,1,5.948586118251928,13,3
2,196,5,4,6,4,1,6.111392405063291,49,4
2,197,5,5,4,4,1,6.369509043927649,22,4
2,198,7,7,6,4,1,5.723076923076923,58,3
2,199,7,2,7,4,1,5.6640625,47,3
2,200,6,3,5,4,1,5.666666666666667,29,3
2,201,2,5,8,4,1,7.037878787878788,54,5
2,202,6,5,6,4,1,6.916243654822335,24,4
2,203,2,2,NA,4,1,5.280612244897959,70,2.5
2,204,3,7,4,4,1,5.147286821705427,57,2
2,205,3,6,7,4,1,6.5240506329113925,44,4
2,206,2,2,5,4,1,5.529262086513995,10,3
2,207,5,5,7,4,1,7.017721518987342,14,4
2,208,7,6,5,4,0,7.159898477157361,40,4
2,209,2,4,7,4,1,6.043701799485861,48,4
2,210,2,6,1,4,1,4.245,66,1
2,211,3,3,5,4,1,5.539240506329114,20,3
2,212,5,5,7,4,1,5.414322250639386,18,3
2,213,5,5,7,4,0,6.329177057356609,36,4
2,214,6,5,7,4,1,6.892768079800499,1,4
2,215,5,3,NA,4,1,4.992307692307692,68,2
2,216,4,3,7,4,1,5.297709923664122,65,3
